       1    1.800    1.200    0.010     -146.6398757
       2    1.800    1.200   10.000     -147.2749931
       3    1.800    1.200   20.000     -148.3860449
       4    1.800    1.200   30.000     -149.1773834
       5    1.800    1.200   40.000     -149.6082704
       6    1.800    1.200   41.410     -149.6491248
       7    1.800    1.200   50.000     -149.8324324
       8    1.800    1.200   60.000     -149.9603178
       9    1.800    1.200   70.000     -150.0453347
      10    1.800    1.200   80.000     -150.1077540
      11    1.800    1.200   90.000     -150.1544087
      12    1.800    1.200  100.000     -150.1882002
      13    1.800    1.200  110.000     -150.2110233
      14    1.800    1.200  120.000     -150.2245902
      15    1.800    1.200  130.000     -150.2305774
      16    1.800    1.200  140.000     -150.2308111
      17    1.800    1.200  150.000     -150.2269415
      18    1.800    1.200  160.000     -150.2216371
      19    1.800    1.200  170.000     -150.2171557
      20    1.800    1.200  179.990     -150.2153041
       0    0.000    0.000    0.000        0.0000000
      21    1.800    1.400    0.010     -142.3404791
      22    1.800    1.400   10.000     -144.8527053
      23    1.800    1.400   20.000     -147.7937280
      24    1.800    1.400   30.000     -149.2076668
      25    1.800    1.400   40.000     -149.7894454
      26    1.800    1.400   49.990     -150.0326025
      27    1.800    1.400   50.000     -150.0326855
      28    1.800    1.400   60.000     -150.1506258
      29    1.800    1.400   70.000     -150.2248475
      30    1.800    1.400   80.000     -150.2804597
      31    1.800    1.400   90.000     -150.3231393
      32    1.800    1.400  100.000     -150.3543585
      33    1.800    1.400  110.000     -150.3753686
      34    1.800    1.400  120.000     -150.3875911
      35    1.800    1.400  130.000     -150.3924912
      36    1.800    1.400  140.000     -150.3916382
      37    1.800    1.400  150.000     -150.3868671
      38    1.800    1.400  160.000     -150.3804258
      39    1.800    1.400  170.000     -150.3749246
      40    1.800    1.400  179.990     -150.3727684
       0    0.000    0.000    0.000        0.0000000
      41    1.800    1.600    0.010     -126.7030964
      42    1.800    1.600   10.000     -140.7547698
      43    1.800    1.600   20.000     -147.3190426
      44    1.800    1.600   30.000     -149.2964612
      45    1.800    1.600   40.000     -149.9389047
      46    1.800    1.600   50.000     -150.1619092
      47    1.800    1.600   55.770     -150.2223885
      48    1.800    1.600   60.000     -150.2538382
      49    1.800    1.600   70.000     -150.3109991
      50    1.800    1.600   80.000     -150.3581113
      51    1.800    1.600   90.000     -150.3965023
      52    1.800    1.600  100.000     -150.4250534
      53    1.800    1.600  110.000     -150.4441395
      54    1.800    1.600  120.000     -150.4548513
      55    1.800    1.600  130.000     -150.4584430
      56    1.800    1.600  140.000     -150.4563074
      57    1.800    1.600  150.000     -150.4501353
      58    1.800    1.600  160.000     -150.4421747
      59    1.800    1.600  170.000     -150.4353467
      60    1.800    1.600  179.990     -150.4325600
       0    0.000    0.000    0.000        0.0000000
      61    1.800    1.700    0.010      -90.6942194
      62    1.800    1.700   10.000     -138.9176544
      63    1.800    1.700   20.000     -147.2984427
      64    1.800    1.700   30.000     -149.3864679
      65    1.800    1.700   40.000     -150.0116579
      66    1.800    1.700   50.000     -150.2119510
      67    1.800    1.700   58.030     -150.2761304
      68    1.800    1.700   60.000     -150.2870950
      69    1.800    1.700   70.000     -150.3344978
      70    1.800    1.700   80.000     -150.3774306
      71    1.800    1.700   90.000     -150.4139632
      72    1.800    1.700  100.000     -150.4413374
      73    1.800    1.700  110.000     -150.4595140
      74    1.800    1.700  120.000     -150.4694666
      75    1.800    1.700  130.000     -150.4723701
      76    1.800    1.700  140.000     -150.4695210
      77    1.800    1.700  150.000     -150.4624964
      78    1.800    1.700  160.000     -150.4535085
      79    1.800    1.700  170.000     -150.4457116
      80    1.800    1.700  179.990     -150.4425009
       0    0.000    0.000    0.000        0.0000000
      81    1.800    1.800   10.000     -138.5382360
      82    1.800    1.800   20.000     -147.4653521
      83    1.800    1.800   30.000     -149.5032662
      84    1.800    1.800   40.000     -150.0826259
      85    1.800    1.800   50.000     -150.2548736
      86    1.800    1.800   60.000     -150.3121898
      87    1.800    1.800   70.000     -150.3495699
      88    1.800    1.800   80.000     -150.3887574
      89    1.800    1.800   90.000     -150.4238118
      90    1.800    1.800  100.000     -150.4501739
      91    1.800    1.800  110.000     -150.4674948
      92    1.800    1.800  120.000     -150.4766990
      93    1.800    1.800  130.000     -150.4789083
      94    1.800    1.800  140.000     -150.4753147
      95    1.800    1.800  150.000     -150.4673396
      96    1.800    1.800  160.000     -150.4570924
      97    1.800    1.800  170.000     -150.4480015
      98    1.800    1.800  179.990     -150.4442615
       0    0.000    0.000    0.000        0.0000000
      99    1.800    1.850   10.000     -139.0590124
     100    1.800    1.850   20.000     -147.6110515
     101    1.800    1.850   30.000     -149.5687633
     102    1.800    1.850   40.000     -150.1169004
     103    1.800    1.850   50.000     -150.2739592
     104    1.800    1.850   60.890     -150.3251309
     105    1.800    1.850   70.000     -150.3546612
     106    1.800    1.850   80.000     -150.3922363
