 ab inito points for HO2 Data: 2007/3/17. modifie le 29oct2007: th = 0.0, 180.0   
   n1 n2  n3    r(OH)       th(OOH)      r(OO)      V(MRCI) 
   1   4  15    1.000000   30.000000    3.250000  -150.00838212
   1   4  16    1.000000   30.000000    3.500000  -150.02083081
   1   4  17    1.000000   30.000000    3.800000  -150.03050882
   1   4  18    1.000000   30.000000    4.200000  -150.03744197
   1   4  19    1.000000   30.000000    4.800000  -150.04148964
   1   4  20    1.000000   30.000000    5.500000  -150.04241864
   1   4  21    1.000000   30.000000    6.500000  -149.97438301
   1   4  22    1.000000   30.000000    7.300000  -150.04117482
   1   4  23    1.000000   30.000000    8.000000  -150.04025293
   1   4  24    1.000000   30.000000    8.800000  -150.04026327
   1   4  25    1.000000   30.000000    9.500000  -150.04027477
   1   4  26    1.000000   30.000000   11.000000  -150.04029076
   1   4  27    1.000000   30.000000   12.500000  -150.04030136
   1   4  28    1.000000   30.000000   14.000000  -150.04030880
   1   4  29    1.000000   30.000000   16.000000  -150.04032511
   1   4  30    1.000000   30.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   5   1    1.000000   40.000000    1.400000  -100.00000000
   1   5   2    1.000000   40.000000    1.650000  -148.82569847
   1   5   3    1.000000   40.000000    1.900000  -149.45972819
   1   5   4    1.000000   40.000000    2.100000  -149.72018488
   1   5   5    1.000000   40.000000    2.200000  -149.80387581
   1   5   6    1.000000   40.000000    2.250000  -149.83760020
   1   5   7    1.000000   40.000000    2.300000  -149.86687117
   1   5   8    1.000000   40.000000    2.400000  -149.91431580
   1   5   9    1.000000   40.000000    2.500000  -149.94994591
   1   5  10    1.000000   40.000000    2.550000  -149.96421752
   1   5  11    1.000000   40.000000    2.600000  -149.97650448
   1   5  12    1.000000   40.000000    2.700000  -149.99603951
   1   5  13    1.000000   40.000000    2.800000  -150.00997325
   1   5  14    1.000000   40.000000    3.000000  -150.02655266
   1   5  15    1.000000   40.000000    3.250000  -150.03528193
   1   5  16    1.000000   40.000000    3.500000  -150.03839448
   1   5  17    1.000000   40.000000    3.800000  -150.04018667
   1   5  18    1.000000   40.000000    4.200000  -150.04145936
   1   5  19    1.000000   40.000000    4.800000  -150.04215409
   1   5  20    1.000000   40.000000    5.500000  -150.04230354
   1   5  21    1.000000   40.000000    6.500000  -150.04159349
   1   5  22    1.000000   40.000000    7.300000  -150.04075615
   1   5  23    1.000000   40.000000    8.000000  -150.04084363
   1   5  24    1.000000   40.000000    8.800000  -150.04028547
   1   5  25    1.000000   40.000000    9.500000  -150.04029055
   1   5  26    1.000000   40.000000   11.000000  -150.04029718
   1   5  27    1.000000   40.000000   12.500000  -150.04030488
   1   5  28    1.000000   40.000000   14.000000  -150.04031095
   1   5  29    1.000000   40.000000   16.000000  -150.04032511
   1   5  30    1.000000   40.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   6   1    1.000000   50.000000    1.400000  -147.97553190
   1   6   2    1.000000   50.000000    1.650000  -149.08637270
   1   6   3    1.000000   50.000000    1.900000  -149.61511752
   1   6   4    1.000000   50.000000    2.100000  -149.83029735
   1   6   5    1.000000   50.000000    2.200000  -149.89842200
   1   6   6    1.000000   50.000000    2.250000  -149.92553319
   1   6   7    1.000000   50.000000    2.300000  -149.94881266
   1   6   8    1.000000   50.000000    2.400000  -149.98578395
   1   6   9    1.000000   50.000000    2.500000  -150.01251296
   1   6  10    1.000000   50.000000    2.550000  -150.02279983
   1   6  11    1.000000   50.000000    2.600000  -150.03135678
   1   6  12    1.000000   50.000000    2.700000  -150.04403169
   1   6  13    1.000000   50.000000    2.800000  -150.05213893
   1   6  14    1.000000   50.000000    3.000000  -150.05903537
   1   6  15    1.000000   50.000000    3.250000  -150.05803517
   1   6  16    1.000000   50.000000    3.500000  -150.05361951
   1   6  17    1.000000   50.000000    3.800000  -150.04887259
   1   6  18    1.000000   50.000000    4.200000  -150.04517598
   1   6  19    1.000000   50.000000    4.800000  -150.04290167
   1   6  20    1.000000   50.000000    5.500000  -150.04218826
   1   6  21    1.000000   50.000000    6.500000  -150.04147800
   1   6  22    1.000000   50.000000    7.300000  -150.04102843
   1   6  23    1.000000   50.000000    8.000000  -150.04059720
   1   6  24    1.000000   50.000000    8.800000  -150.04029897
   1   6  25    1.000000   50.000000    9.500000  -150.04029768
   1   6  26    1.000000   50.000000   11.000000  -150.04030234
   1   6  27    1.000000   50.000000   12.500000  -150.04030869
   1   6  28    1.000000   50.000000   14.000000  -150.04031327
   1   6  29    1.000000   50.000000   16.000000  -150.04032511
   1   6  30    1.000000   50.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1   7   1    1.000000   60.000000    1.400000  -148.23584750
   1   7   2    1.000000   60.000000    1.650000  -149.25444168
   1   7   3    1.000000   60.000000    1.900000  -149.72882945
   1   7   4    1.000000   60.000000    2.100000  -149.91613073
   1   7   5    1.000000   60.000000    2.200000  -149.97344429
   1   7   6    1.000000   60.000000    2.250000  -149.99571723
   1   7   7    1.000000   60.000000    2.300000  -150.01448034
   1   7   8    1.000000   60.000000    2.400000  -150.04325262
   1   7   9    1.000000   60.000000    2.500000  -150.06272809
   1   7  10    1.000000   60.000000    2.550000  -150.06971746
   1   7  11    1.000000   60.000000    2.600000  -150.07519839
   1   7  12    1.000000   60.000000    2.700000  -150.08241138
   1   7  13    1.000000   60.000000    2.800000  -150.08570677
   1   7  14    1.000000   60.000000    3.000000  -150.08463743
   1   7  15    1.000000   60.000000    3.250000  -150.07580416
   1   7  16    1.000000   60.000000    3.500000  -150.06558730
   1   7  17    1.000000   60.000000    3.800000  -150.05581126
   1   7  18    1.000000   60.000000    4.200000  -150.04819436
   1   7  19    1.000000   60.000000    4.800000  -150.04357962
   1   7  20    1.000000   60.000000    5.500000  -150.04209543
   1   7  21    1.000000   60.000000    6.500000  -150.04134183
   1   7  22    1.000000   60.000000    7.300000  -150.04124960
   1   7  23    1.000000   60.000000    8.000000  -150.04050675
   1   7  24    1.000000   60.000000    8.800000  -150.04031430
   1   7  25    1.000000   60.000000    9.500000  -150.04031212
   1   7  26    1.000000   60.000000   11.000000  -150.04031051
   1   7  27    1.000000   60.000000   12.500000  -150.04031324
   1   7  28    1.000000   60.000000   14.000000  -150.04031623
   1   7  29    1.000000   60.000000   16.000000  -150.04032511
