 ab inito points for HO2 Data: 2007/3/17. modifie le 29oct2007: th = 0.0, 180.0   
   n1 n2  n3    r(OH)       th(OOH)      r(OO)      V(MRCI) 
  10   7   9    2.200000   60.000000    2.500000  -150.69324930
  10   7  10    2.200000   60.000000    2.550000  -150.69678126
  10   7  11    2.200000   60.000000    2.600000  -150.69916839
  10   7  12    2.200000   60.000000    2.700000  -150.70113006
  10   7  13    2.200000   60.000000    2.800000  -150.70018488
  10   7  14    2.200000   60.000000    3.000000  -150.69263361
  10   7  15    2.200000   60.000000    3.250000  -150.67816265
  10   7  16    2.200000   60.000000    3.500000  -150.66365152
  10   7  17    2.200000   60.000000    3.670000  -150.65559556
  10   7  18    2.200000   60.000000    3.800000  -150.65071604
  10   7  19    2.200000   60.000000    3.920000  -150.64715821
  10   7  20    2.200000   60.000000    4.040000  -150.64438873
  10   7  21    2.200000   60.000000    4.200000  -150.64167519
  10   7  22    2.200000   60.000000    4.390000  -150.63950852
  10   7  23    2.200000   60.000000    4.800000  -150.63700109
  10   7  24    2.200000   60.000000    5.500000  -150.63541829
  10   7  25    2.200000   60.000000    6.500000  -150.63458436
  10   7  26    2.200000   60.000000    7.300000  -150.63411270
  10   7  27    2.200000   60.000000    8.000000  -150.63384923
  10   7  28    2.200000   60.000000    8.800000  -150.63365574
  10   7  29    2.200000   60.000000    9.500000  -150.63353290
  10   7  30    2.200000   60.000000   11.000000  -150.63342658
  10   7  31    2.200000   60.000000   12.500000  -150.63337687
  10   7  32    2.200000   60.000000   14.000000  -150.63335482
  10   7  33    2.200000   60.000000   16.000000  -150.63331336
  10   7  34    2.200000   60.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10   8   1    2.200000   70.000000    1.400000  -149.31897298
  10   8   2    2.200000   70.000000    1.500000  -149.71335389
  10   8   3    2.200000   70.000000    1.650000  -150.09558466
  10   8   4    2.200000   70.000000    1.900000  -150.45433739
  10   8   5    2.200000   70.000000    2.100000  -150.60109483
  10   8   6    2.200000   70.000000    2.200000  -150.64346910
  10   8   7    2.200000   70.000000    2.250000  -150.65927865
  10   8   8    2.200000   70.000000    2.300000  -150.67216635
  10   8   9    2.200000   70.000000    2.400000  -150.69076066
  10   8  10    2.200000   70.000000    2.500000  -150.70188933
  10   8  11    2.200000   70.000000    2.550000  -150.70528542
  10   8  12    2.200000   70.000000    2.600000  -150.70750541
  10   8  13    2.200000   70.000000    2.700000  -150.70906970
  10   8  14    2.200000   70.000000    2.800000  -150.70769014
  10   8  15    2.200000   70.000000    3.000000  -150.69933712
  10   8  16    2.200000   70.000000    3.250000  -150.68420580
  10   8  17    2.200000   70.000000    3.500000  -150.66916741
  10   8  18    2.200000   70.000000    3.700000  -150.65924492
  10   8  19    2.200000   70.000000    3.800000  -150.65518167
  10   8  20    2.200000   70.000000    3.940000  -150.65047728
  10   8  21    2.200000   70.000000    4.200000  -150.64432883
  10   8  22    2.200000   70.000000    4.410000  -150.64117134
  10   8  23    2.200000   70.000000    4.800000  -150.63779982
  10   8  24    2.200000   70.000000    5.500000  -150.63539519
  10   8  25    2.200000   70.000000    6.500000  -150.63437498
  10   8  26    2.200000   70.000000    7.300000  -150.63397415
  10   8  27    2.200000   70.000000    8.000000  -150.63375428
  10   8  28    2.200000   70.000000    8.800000  -150.63359832
  10   8  29    2.200000   70.000000    9.500000  -150.63351194
  10   8  30    2.200000   70.000000   11.000000  -150.63341276
  10   8  31    2.200000   70.000000   12.500000  -150.63336719
  10   8  32    2.200000   70.000000   14.000000  -150.63334403
  10   8  33    2.200000   70.000000   16.000000  -150.63331336
  10   8  34    2.200000   70.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10   9   1    2.200000   80.000000    1.400000  -149.37359065
  10   9   2    2.200000   80.000000    1.650000  -150.15566754
  10   9   3    2.200000   80.000000    1.900000  -150.49981882
  10   9   4    2.200000   80.000000    2.100000  -150.63090666
  10   9   5    2.200000   80.000000    2.200000  -150.66840397
  10   9   6    2.200000   80.000000    2.250000  -150.68220216
  10   9   7    2.200000   80.000000    2.300000  -150.69329368
  10   9   8    2.200000   80.000000    2.400000  -150.70880297
  10   9   9    2.200000   80.000000    2.500000  -150.71736551
  10   9  10    2.200000   80.000000    2.550000  -150.71963369
  10   9  11    2.200000   80.000000    2.600000  -150.72081460
  10   9  12    2.200000   80.000000    2.700000  -150.72053645
  10   9  13    2.200000   80.000000    2.800000  -150.71758985
  10   9  14    2.200000   80.000000    3.000000  -150.70679095
  10   9  15    2.200000   80.000000    3.130000  -150.69800416
  10   9  16    2.200000   80.000000    3.250000  -150.68958142
  10   9  17    2.200000   80.000000    3.500000  -150.67311653
  10   9  18    2.200000   80.000000    3.800000  -150.65782264
  10   9  19    2.200000   80.000000    3.980000  -150.65132236
  10   9  20    2.200000   80.000000    4.200000  -150.64567488
  10   9  21    2.200000   80.000000    4.800000  -150.63812889
  10   9  22    2.200000   80.000000    5.500000  -150.63533342
  10   9  23    2.200000   80.000000    6.500000  -150.63415927
  10   9  24    2.200000   80.000000    7.300000  -150.63379420
  10   9  25    2.200000   80.000000    8.000000  -150.63362202
  10   9  26    2.200000   80.000000    8.800000  -150.63355167
  10   9  27    2.200000   80.000000    9.500000  -150.63348101
  10   9  28    2.200000   80.000000   11.000000  -150.63339818
  10   9  29    2.200000   80.000000   12.500000  -150.63335884
  10   9  30    2.200000   80.000000   14.000000  -150.63332373
  10   9  31    2.200000   80.000000   16.000000  -150.63331336
  10   9  32    2.200000   80.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  10   1    2.200000   90.000000    1.400000  -149.43947087
  10  10   2    2.200000   90.000000    1.650000  -150.21396617
  10  10   3    2.200000   90.000000    1.900000  -150.54457086
  10  10   4    2.200000   90.000000    2.100000  -150.66195394
  10  10   5    2.200000   90.000000    2.200000  -150.69393214
  10  10   6    2.200000   90.000000    2.250000  -150.70531719
  10  10   7    2.200000   90.000000    2.300000  -150.71420917
  10  10   8    2.200000   90.000000    2.400000  -150.72589556
  10  10   9    2.200000   90.000000    2.500000  -150.73130048
  10  10  10    2.200000   90.000000    2.550000  -150.73220270
  10  10  11    2.200000   90.000000    2.600000  -150.73214203
  10  10  12    2.200000   90.000000    2.700000  -150.72970907
  10  10  13    2.200000   90.000000    2.800000  -150.72498295
  10  10  14    2.200000   90.000000    3.000000  -150.71151657
  10  10  15    2.200000   90.000000    3.250000  -150.69219486
  10  10  16    2.200000   90.000000    3.500000  -150.67450379
  10  10  17    2.200000   90.000000    3.800000  -150.65842551
  10  10  18    2.200000   90.000000    4.200000  -150.64582605
  10  10  19    2.200000   90.000000    4.800000  -150.63807848
  10  10  20    2.200000   90.000000    5.500000  -150.63523505
  10  10  21    2.200000   90.000000    6.500000  -150.63408405
  10  10  22    2.200000   90.000000    7.300000  -150.63373958
  10  10  23    2.200000   90.000000    8.000000  -150.63356388
  10  10  24    2.200000   90.000000    8.800000  -150.63348124
  10  10  25    2.200000   90.000000    9.500000  -150.63342510
  10  10  26    2.200000   90.000000   11.000000  -150.63336120
  10  10  27    2.200000   90.000000   12.500000  -150.63332382
  10  10  28    2.200000   90.000000   14.000000  -150.63331720
  10  10  29    2.200000   90.000000   16.000000  -150.63331336
  10  10  30    2.200000   90.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  11   1    2.200000  100.000000    1.400000  -149.48547783
  10  11   2    2.200000  100.000000    1.650000  -150.25390591
  10  11   3    2.200000  100.000000    1.900000  -150.57457659
  10  11   4    2.200000  100.000000    2.100000  -150.68285300
  10  11   5    2.200000  100.000000    2.200000  -150.71081534
  10  11   6    2.200000  100.000000    2.250000  -150.72038098
  10  11   7    2.200000  100.000000    2.300000  -150.72758259
  10  11   8    2.200000  100.000000    2.400000  -150.73626577
  10  11   9    2.200000  100.000000    2.500000  -150.73913787
  10  11  10    2.200000  100.000000    2.550000  -150.73893512
  10  11  11    2.200000  100.000000    2.600000  -150.73786864
  10  11  12    2.200000  100.000000    2.700000  -150.73369651
  10  11  13    2.200000  100.000000    2.800000  -150.72755377
  10  11  14    2.200000  100.000000    3.000000  -150.71204570
  10  11  15    2.200000  100.000000    3.250000  -150.69129956
  10  11  16    2.200000  100.000000    3.500000  -150.67306122
  10  11  17    2.200000  100.000000    3.800000  -150.65703466
  10  11  18    2.200000  100.000000    4.200000  -150.64492916
  10  11  19    2.200000  100.000000    4.800000  -150.63772820
  10  11  20    2.200000  100.000000    5.500000  -150.63510605
  10  11  21    2.200000  100.000000    6.500000  -150.63404120
  10  11  22    2.200000  100.000000    7.300000  -150.63372071
  10  11  23    2.200000  100.000000    8.000000  -150.63358112
  10  11  24    2.200000  100.000000    8.800000  -150.63344324
  10  11  25    2.200000  100.000000    9.500000  -150.63338897
  10  11  26    2.200000  100.000000   11.000000  -150.63334537
  10  11  27    2.200000  100.000000   12.500000  -150.63332747
  10  11  28    2.200000  100.000000   14.000000  -150.63331964
  10  11  29    2.200000  100.000000   16.000000  -150.63331336
  10  11  30    2.200000  100.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  12   1    2.200000  110.000000    1.400000  -149.51202547
  10  12   2    2.200000  110.000000    1.650000  -150.27804249
  10  12   3    2.200000  110.000000    1.900000  -150.58967845
  10  12   4    2.200000  110.000000    2.100000  -150.69211035
  10  12   5    2.200000  110.000000    2.200000  -150.71746687
  10  12   6    2.200000  110.000000    2.250000  -150.72584055
  10  12   7    2.200000  110.000000    2.300000  -150.73192839
  10  12   8    2.200000  110.000000    2.400000  -150.73862037
  10  12   9    2.200000  110.000000    2.500000  -150.73980704
  10  12  10    2.200000  110.000000    2.550000  -150.73887094
  10  12  11    2.200000  110.000000    2.600000  -150.73713980
  10  12  12    2.200000  110.000000    2.700000  -150.73183176
  10  12  13    2.200000  110.000000    2.800000  -150.72478954
  10  12  14    2.200000  110.000000    3.000000  -150.70809620
  10  12  15    2.200000  110.000000    3.250000  -150.68681416
  10  12  16    2.200000  110.000000    3.500000  -150.66885472
  10  12  17    2.200000  110.000000    3.800000  -150.65382104
  10  12  18    2.200000  110.000000    4.200000  -150.64315967
  10  12  19    2.200000  110.000000    4.800000  -150.63715037
  10  12  20    2.200000  110.000000    5.500000  -150.63495466
  10  12  21    2.200000  110.000000    6.500000  -150.63400224
  10  12  22    2.200000  110.000000    7.300000  -150.63369386
  10  12  23    2.200000  110.000000    8.000000  -150.63356134
  10  12  24    2.200000  110.000000    8.800000  -150.63344041
  10  12  25    2.200000  110.000000    9.500000  -150.63339593
  10  12  26    2.200000  110.000000   11.000000  -150.63335003
  10  12  27    2.200000  110.000000   12.500000  -150.63333089
  10  12  28    2.200000  110.000000   14.000000  -150.63332179
  10  12  29    2.200000  110.000000   16.000000  -150.63331336
  10  12  30    2.200000  110.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  13   1    2.200000  120.000000    1.400000  -149.52181156
  10  13   2    2.200000  120.000000    1.650000  -150.28477406
  10  13   3    2.200000  120.000000    1.900000  -150.59189511
  10  13   4    2.200000  120.000000    2.100000  -150.69087547
  10  13   5    2.200000  120.000000    2.200000  -150.71473071
  10  13   6    2.200000  120.000000    2.250000  -150.72242388
  10  13   7    2.200000  120.000000    2.300000  -150.72787972
  10  13   8    2.200000  120.000000    2.400000  -150.73345283
  10  13   9    2.200000  120.000000    2.500000  -150.73371052
  10  13  10    2.200000  120.000000    2.550000  -150.73237831
  10  13  11    2.200000  120.000000    2.600000  -150.73029534
  10  13  12    2.200000  120.000000    2.700000  -150.72441077
  10  13  13    2.200000  120.000000    2.800000  -150.71695375
  10  13  14    2.200000  120.000000    3.000000  -150.69988346
  10  13  15    2.200000  120.000000    3.250000  -150.67892742
  10  13  16    2.200000  120.000000    3.500000  -150.66209854
  10  13  17    2.200000  120.000000    3.800000  -150.64904894
  10  13  18    2.200000  120.000000    4.200000  -150.64073163
  10  13  19    2.200000  120.000000    4.800000  -150.63642086
  10  13  20    2.200000  120.000000    5.500000  -150.63478791
  10  13  21    2.200000  120.000000    6.500000  -150.63397067
  10  13  22    2.200000  120.000000    7.300000  -150.63368143
  10  13  23    2.200000  120.000000    8.000000  -150.63353299
  10  13  24    2.200000  120.000000    8.800000  -150.63345511
  10  13  25    2.200000  120.000000    9.500000  -150.63340514
  10  13  26    2.200000  120.000000   11.000000  -150.63335551
  10  13  27    2.200000  120.000000   12.500000  -150.63333421
  10  13  28    2.200000  120.000000   14.000000  -150.63332392
  10  13  29    2.200000  120.000000   16.000000  -150.63331336
  10  13  30    2.200000  120.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  14   1    2.200000  130.000000    1.400000  -149.51764758
  10  14   2    2.200000  130.000000    1.650000  -150.27865274
  10  14   3    2.200000  130.000000    1.900000  -150.58339595
  10  14   4    2.200000  130.000000    2.100000  -150.68077869
  10  14   5    2.200000  130.000000    2.200000  -150.70400252
  10  14   6    2.200000  130.000000    2.250000  -150.71142295
  10  14   7    2.200000  130.000000    2.300000  -150.71663363
  10  14   8    2.200000  130.000000    2.400000  -150.72179490
  10  14   9    2.200000  130.000000    2.500000  -150.72173909
  10  14  10    2.200000  130.000000    2.550000  -150.72028569
  10  14  11    2.200000  130.000000    2.600000  -150.71810519
  10  14  12    2.200000  130.000000    2.700000  -150.71209726
  10  14  13    2.200000  130.000000    2.800000  -150.70461541
  10  14  14    2.200000  130.000000    3.000000  -150.68782094
  10  14  15    2.200000  130.000000    3.250000  -150.66794255
  10  14  16    2.200000  130.000000    3.500000  -150.65311118
  10  14  17    2.200000  130.000000    3.800000  -150.64309054
  10  14  18    2.200000  130.000000    4.200000  -150.63790702
  10  14  19    2.200000  130.000000    4.800000  -150.63562022
  10  14  20    2.200000  130.000000    5.500000  -150.63461574
  10  14  21    2.200000  130.000000    6.500000  -150.63394701
  10  14  22    2.200000  130.000000    7.300000  -150.63367792
  10  14  23    2.200000  130.000000    8.000000  -150.63353840
  10  14  24    2.200000  130.000000    8.800000  -150.63344985
  10  14  25    2.200000  130.000000    9.500000  -150.63339767
  10  14  26    2.200000  130.000000   11.000000  -150.63335089
  10  14  27    2.200000  130.000000   12.500000  -150.63333119
  10  14  28    2.200000  130.000000   14.000000  -150.63332164
  10  14  29    2.200000  130.000000   16.000000  -150.63331336
  10  14  30    2.200000  130.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  15   1    2.200000  140.000000    1.400000  -149.50219828
  10  15   2    2.200000  140.000000    1.520000  -149.94950151
  10  15   3    2.200000  140.000000    1.650000  -150.26210335
  10  15   4    2.200000  140.000000    1.900000  -150.56619574
  10  15   5    2.200000  140.000000    2.100000  -150.66349456
  10  15   6    2.200000  140.000000    2.200000  -150.68680374
  10  15   7    2.200000  140.000000    2.250000  -150.69428742
  10  15   8    2.200000  140.000000    2.300000  -150.69957044
  10  15   9    2.200000  140.000000    2.400000  -150.70489352
  10  15  10    2.200000  140.000000    2.500000  -150.70501263
  10  15  11    2.200000  140.000000    2.550000  -150.70365075
  10  15  12    2.200000  140.000000    2.600000  -150.70156568
  10  15  13    2.200000  140.000000    2.700000  -150.69576645
  10  15  14    2.200000  140.000000    2.800000  -150.68853187
  10  15  15    2.200000  140.000000    3.000000  -150.67244856
  10  15  16    2.200000  140.000000    3.250000  -150.65423874
  10  15  17    2.200000  140.000000    3.500000  -150.64234130
  10  15  18    2.200000  140.000000    3.800000  -150.63646590
  10  15  19    2.200000  140.000000    4.200000  -150.63499026
  10  15  20    2.200000  140.000000    4.800000  -150.63462900
  10  15  21    2.200000  140.000000    5.500000  -150.63417283
  10  15  22    2.200000  140.000000    6.500000  -150.63393946
  10  15  23    2.200000  140.000000    7.300000  -150.63371291
  10  15  24    2.200000  140.000000    8.000000  -150.63358156
  10  15  25    2.200000  140.000000    8.800000  -150.63348827
  10  15  26    2.200000  140.000000    9.500000  -150.63343748
  10  15  27    2.200000  140.000000   11.000000  -150.63337885
  10  15  28    2.200000  140.000000   12.500000  -150.63335147
  10  15  29    2.200000  140.000000   14.000000  -150.63333742
  10  15  30    2.200000  140.000000   16.000000  -150.63331336
  10  15  31    2.200000  140.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  16   1    2.200000  150.000000    1.400000  -149.47810877
  10  16   2    2.200000  150.000000    1.520000  -149.92566799
  10  16   3    2.200000  150.000000    1.650000  -150.23744061
  10  16   4    2.200000  150.000000    1.900000  -150.54222108
  10  16   5    2.200000  150.000000    2.100000  -150.64077604
  10  16   6    2.200000  150.000000    2.200000  -150.66482090
  10  16   7    2.200000  150.000000    2.250000  -150.67266962
  10  16   8    2.200000  150.000000    2.300000  -150.67830575
  10  16   9    2.200000  150.000000    2.400000  -150.68427993
  10  16  10    2.200000  150.000000    2.500000  -150.68496151
  10  16  11    2.200000  150.000000    2.550000  -150.68384761
  10  16  12    2.200000  150.000000    2.600000  -150.68199045
  10  16  13    2.200000  150.000000    2.700000  -150.67659883
  10  16  14    2.200000  150.000000    2.800000  -150.66973506
  10  16  15    2.200000  150.000000    3.000000  -150.65447541
  10  16  16    2.200000  150.000000    3.250000  -150.63827605
  10  16  17    2.200000  150.000000    3.500000  -150.63048206
  10  16  18    2.200000  150.000000    3.800000  -150.62989366
  10  16  19    2.200000  150.000000    4.200000  -150.63230430
  10  16  20    2.200000  150.000000    4.800000  -150.63412516
  10  16  21    2.200000  150.000000    5.500000  -150.63430619
  10  16  22    2.200000  150.000000    6.500000  -150.63391558
  10  16  23    2.200000  150.000000    7.300000  -150.63367757
  10  16  24    2.200000  150.000000    8.000000  -150.63355521
  10  16  25    2.200000  150.000000    8.800000  -150.63347025
  10  16  26    2.200000  150.000000    9.500000  -150.63342225
  10  16  27    2.200000  150.000000   11.000000  -150.63336860
  10  16  28    2.200000  150.000000   12.500000  -150.63334296
  10  16  29    2.200000  150.000000   14.000000  -150.63332954
  10  16  30    2.200000  150.000000   16.000000  -150.63331336
  10  16  31    2.200000  150.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  17   1    2.200000  160.000000    1.400000  -149.44855788
  10  17   2    2.200000  160.000000    1.650000  -150.20791543
  10  17   3    2.200000  160.000000    1.900000  -150.51322963
  10  17   4    2.200000  160.000000    2.100000  -150.61470964
  10  17   5    2.200000  160.000000    2.200000  -150.64022536
  10  17   6    2.200000  160.000000    2.250000  -150.64876814
  10  17   7    2.200000  160.000000    2.300000  -150.65505158
  10  17   8    2.200000  160.000000    2.400000  -150.66214940
  10  17   9    2.200000  160.000000    2.500000  -150.66371125
  10  17  10    2.200000  160.000000    2.550000  -150.66294896
  10  17  11    2.200000  160.000000    2.600000  -150.66138835
  10  17  12    2.200000  160.000000    2.700000  -150.65644110
  10  17  13    2.200000  160.000000    2.800000  -150.64985872
  10  17  14    2.200000  160.000000    3.000000  -150.63494734
  10  17  15    2.200000  160.000000    3.250000  -150.62061520
  10  17  16    2.200000  160.000000    3.500000  -150.61880770
  10  17  17    2.200000  160.000000    3.800000  -150.62427466
  10  17  18    2.200000  160.000000    4.200000  -150.63002559
  10  17  19    2.200000  160.000000    4.800000  -150.63357411
  10  17  20    2.200000  160.000000    5.500000  -150.63419477
  10  17  21    2.200000  160.000000    6.500000  -150.63390794
  10  17  22    2.200000  160.000000    7.300000  -150.63368041
  10  17  23    2.200000  160.000000    8.000000  -150.63355749
  10  17  24    2.200000  160.000000    8.800000  -150.63347114
  10  17  25    2.200000  160.000000    9.500000  -150.63342470
  10  17  26    2.200000  160.000000   11.000000  -150.63337025
  10  17  27    2.200000  160.000000   12.500000  -150.63334399
  10  17  28    2.200000  160.000000   14.000000  -150.63333019
  10  17  29    2.200000  160.000000   16.000000  -150.63331336
  10  17  30    2.200000  160.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  18   1    2.200000  170.000000    1.400000  -149.42008611
  10  18   2    2.200000  170.000000    1.650000  -150.18130218
  10  18   3    2.200000  170.000000    1.900000  -150.47927171
  10  18   4    2.200000  170.000000    2.100000  -150.58857322
  10  18   5    2.200000  170.000000    2.200000  -150.61677537
  10  18   6    2.200000  170.000000    2.250000  -150.62647814
  10  18   7    2.200000  170.000000    2.300000  -150.63378117
  10  18   8    2.200000  170.000000    2.400000  -150.64250579
  10  18   9    2.200000  170.000000    2.500000  -150.64519552
  10  18  10    2.200000  170.000000    2.550000  -150.64482905
  10  18  11    2.200000  170.000000    2.600000  -150.64355934
  10  18  12    2.200000  170.000000    2.700000  -150.63889137
  10  18  13    2.200000  170.000000    2.800000  -150.63218985
  10  18  14    2.200000  170.000000    3.000000  -150.61582757
  10  18  15    2.200000  170.000000    3.250000  -150.60224750
  10  18  16    2.200000  170.000000    3.500000  -150.60986740
  10  18  17    2.200000  170.000000    3.800000  -150.62053602
  10  18  18    2.200000  170.000000    4.200000  -150.62862468
  10  18  19    2.200000  170.000000    4.800000  -150.63322452
  10  18  20    2.200000  170.000000    5.500000  -150.63412389
  10  18  21    2.200000  170.000000    6.500000  -150.63390241
  10  18  22    2.200000  170.000000    7.300000  -150.63368126
  10  18  23    2.200000  170.000000    8.000000  -150.63355878
  10  18  24    2.200000  170.000000    8.800000  -150.63347208
  10  18  25    2.200000  170.000000    9.500000  -150.63342552
  10  18  26    2.200000  170.000000   11.000000  -150.63337072
  10  18  27    2.200000  170.000000   12.500000  -150.63334433
  10  18  28    2.200000  170.000000   14.000000  -150.63333038
  10  18  29    2.200000  170.000000   16.000000  -150.63331336
  10  18  30    2.200000  170.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  10  19   1    2.200000  180.000000    1.400000  -149.40802036
  10  19   2    2.200000  180.000000    1.650000  -150.17069226
  10  19   3    2.200000  180.000000    1.900000  -150.46258003
  10  19   4    2.200000  180.000000    2.000000  -150.51448242
  10  19   5    2.200000  180.000000    2.100000  -150.54519580
  10  19   6    2.200000  180.000000    2.200000  -150.60576736
  10  19   7    2.200000  180.000000    2.250000  -150.61666564
  10  19   8    2.200000  180.000000    2.300000  -150.62490364
  10  19   9    2.200000  180.000000    2.400000  -150.63477979
  10  19  10    2.200000  180.000000    2.500000  -150.63824731
  10  19  11    2.200000  180.000000    2.550000  -150.63812420
  10  19  12    2.200000  180.000000    2.600000  -150.63618018
  10  19  13    2.200000  180.000000    2.700000  -150.63206234
  10  19  14    2.200000  180.000000    2.800000  -150.62576136
  10  19  15    2.200000  180.000000    3.000000  -150.57887152
  10  19  16    2.200000  180.000000    3.250000  -150.59389213
  10  19  17    2.200000  180.000000    3.500000  -150.60710080
  10  19  18    2.200000  180.000000    3.800000  -150.61929900
  10  19  19    2.200000  180.000000    4.200000  -150.62834826
  10  19  20    2.200000  180.000000    4.800000  -150.63315390
  10  19  21    2.200000  180.000000    5.500000  -150.63414807
  10  19  22    2.200000  180.000000    6.500000  -150.63394858
  10  19  23    2.200000  180.000000    7.300000  -150.63372900
  10  19  24    2.200000  180.000000    8.000000  -150.63360648
  10  19  25    2.200000  180.000000    8.800000  -150.63353153
  10  19  26    2.200000  180.000000    9.500000  -150.63346438
  10  19  27    2.200000  180.000000   11.000000  -150.63338861
  10  19  28    2.200000  180.000000   12.500000  -150.63333212
  10  19  29    2.200000  180.000000   14.000000  -150.63332021
  10  19  30    2.200000  180.000000   16.000000  -150.63331336
  10  19  31    2.200000  180.000000   20.000000  -150.63331034
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  11   1   1    2.500000    0.000000    1.400000  -148.92022447
  11   1   2    2.500000    0.000000    1.650000  -100.00000000
  11   1   3    2.500000    0.000000    1.900000  -100.00000000
  11   1   4    2.500000    0.000000    2.100000  -100.00000000
  11   1   5    2.500000    0.000000    2.200000  -100.00000000
  11   1   6    2.500000    0.000000    2.250000  -100.00000000
  11   1   7    2.500000    0.000000    2.300000  -100.00000000
  11   1   8    2.500000    0.000000    2.400000  -100.00000000
  11   1   9    2.500000    0.000000    2.500000  -100.00000000
  11   1  10    2.500000    0.000000    2.550000  -100.00000000
  11   1  11    2.500000    0.000000    2.600000  -100.00000000
  11   1  12    2.500000    0.000000    2.700000  -100.00000000
  11   1  13    2.500000    0.000000    2.800000  -100.00000000
  11   1  14    2.500000    0.000000    3.000000  -100.00000000
  11   1  15    2.500000    0.000000    3.250000  -100.00000000
  11   1  16    2.500000    0.000000    3.500000  -149.98361570
  11   1  17    2.500000    0.000000    3.800000  -150.45898464
  11   1  18    2.500000    0.000000    3.900000  -150.52708074
  11   1  19    2.500000    0.000000    4.200000  -150.61637081
  11   1  20    2.500000    0.000000    4.400000  -150.62982347
  11   1  21    2.500000    0.000000    4.500000  -150.62931908
  11   1  22    2.500000    0.000000    4.800000  -150.60951792
  11   1  23    2.500000    0.000000    5.000000  -150.59994642
  11   1  24    2.500000    0.000000    5.500000  -150.60381990
  11   1  25    2.500000    0.000000    5.900000  -150.60536534
  11   1  26    2.500000    0.000000    6.500000  -150.60533210
  11   1  27    2.500000    0.000000    7.300000  -150.60421425
  11   1  28    2.500000    0.000000    8.000000  -150.60334643
  11   1  29    2.500000    0.000000    8.800000  -150.60269248
  11   1  30    2.500000    0.000000    9.500000  -150.60233683
  11   1  31    2.500000    0.000000   11.000000  -150.60196815
  11   1  32    2.500000    0.000000   12.500000  -150.60181883
  11   1  33    2.500000    0.000000   14.000000  -150.60162865
  11   1  34    2.500000    0.000000   16.000000  -150.60166622
  11   1  35    2.500000    0.000000   20.000000  -150.60166170
   0   0   0    0.000000    0.000000    0.000000     0.00000000
  11   2   1    2.500000   10.000000    1.400000  -149.02205488
  11   2   2    2.500000   10.000000    1.650000  -100.00000000
  11   2   3    2.500000   10.000000    1.900000  -100.00000000
  11   2   4    2.500000   10.000000    2.100000  -100.00000000
  11   2   5    2.500000   10.000000    2.200000  -100.00000000
  11   2   6    2.500000   10.000000    2.250000  -100.00000000
  11   2   7    2.500000   10.000000    2.300000  -100.00000000
  11   2   8    2.500000   10.000000    2.400000  -100.00000000
  11   2   9    2.500000   10.000000    2.500000  -100.00000000
  11   2  10    2.500000   10.000000    2.550000  -100.00000000
  11   2  11    2.500000   10.000000    2.600000  -100.00000000
  11   2  12    2.500000   10.000000    2.700000  -100.00000000
  11   2  13    2.500000   10.000000    2.800000  -100.00000000
  11   2  14    2.500000   10.000000    3.000000  -100.00000000
  11   2  15    2.500000   10.000000    3.250000  -100.00000000
  11   2  16    2.500000   10.000000    3.360000  -100.00000000
  11   2  17    2.500000   10.000000    3.500000  -150.26243423
  11   2  18    2.500000   10.000000    3.800000  -150.53678971
  11   2  19    2.500000   10.000000    4.000000  -150.60405216
  11   2  20    2.500000   10.000000    4.200000  -150.62820511
  11   2  21    2.500000   10.000000    4.310000  -150.63116816
  11   2  22    2.500000   10.000000    4.410000  -150.63005600
  11   2  23    2.500000   10.000000    4.620000  -150.62071363
  11   2  24    2.500000   10.000000    4.800000  -150.60518724
  11   2  25    2.500000   10.000000    4.920000  -150.60048613
  11   2  26    2.500000   10.000000    5.130000  -150.60047783
  11   2  27    2.500000   10.000000    5.500000  -150.60398050
  11   2  28    2.500000   10.000000    5.630000  -150.60443856
  11   2  29    2.500000   10.000000    6.240000  -150.60532309
  11   2  30    2.500000   10.000000    6.500000  -150.60514112
  11   2  31    2.500000   10.000000    7.300000  -150.60409277
  11   2  32    2.500000   10.000000    8.000000  -150.60326621
  11   2  33    2.500000   10.000000    8.800000  -150.60260315
  11   2  34    2.500000   10.000000    9.500000  -150.60230834
  11   2  35    2.500000   10.000000   11.000000  -150.60191692
  11   2  36    2.500000   10.000000   12.500000  -150.60177632
