---------- Low Frequencies ----------
index1 index2   freq[cm-1] 
     0     -6        -0.01 
     1     -5        -0.00 
     2     -4        -0.00 
     3     -3         0.00 
     4     -2         0.00 
     5     -1         0.01 
---------- High Frequencies --------- 
     6      0      1678.94 
     7      1      4265.62 
     8      2      4628.88 
-----------------------------------
