---------- Low Frequencies ----------
index1 index2   freq[cm-1] 
     0     -6      -308.46   <-- Imag 
     1     -5      -252.26   <-- Imag 
     2     -4      -114.98   <-- Imag 
     3     -3        -0.14   <-- Imag 
     4     -2        -0.11   <-- Imag 
     5     -1         0.02 
---------- High Frequencies --------- 
     6      0         0.05 
     7      1         0.09 
     8      2         0.10 
     9      3       157.35 
    10      4       237.69 
    11      5       357.59 
    12      6       509.29 
    13      7       588.71 
    14      8       694.43 
    15      9       781.88 
    16     10       840.26 
    17     11       864.57 
    18     12       930.35 
    19     13       943.21 
    20     14       978.11 
    21     15       996.38 
    22     16      1024.49 
    23     17      1086.52 
    24     18      1115.92 
    25     19      1255.01 
    26     20      1353.24 
    27     21      1362.19 
    28     22      1453.20 
    29     23      1513.13 
    30     24      1526.47 
    31     25      1824.72 
    32     26      1850.71 
    33     27      1869.71 
    34     28      3500.21 
    35     29      3504.06 
    36     30      3515.73 
    37     31      3522.30 
    38     32      3523.65 
    39     33      3539.13 
    40     34      3670.32 
    41     35      3678.60 
-----------------------------------
