----------Low Frequencies----------
index1 index2   freq[cm-1] 
     0     -6       -18.44   <-- Imag 
     1     -5       -13.11   <-- Imag 
     2     -4        -1.48   <-- Imag 
     3     -3         4.36 
     4     -2         7.28 
     5     -1         8.66 
----------High Frequencies--------- 
     6      0        76.07 
     7      1       155.81 
     8      2       233.61 
     9      3       381.57 
    10      4       405.14 
    11      5       421.31 
    12      6       545.01 
    13      7       624.05 
    14      8       653.87 
    15      9       691.58 
    16     10       701.43 
    17     11       834.74 
    18     12       886.00 
    19     13       907.78 
    20     14       912.72 
    21     15       930.28 
    22     16      1017.28 
    23     17      1029.73 
    24     18      1079.19 
    25     19      1110.32 
    26     20      1134.91 
    27     21      1137.10 
    28     22      1142.61 
    29     23      1262.06 
    30     24      1393.29 
    31     25      1444.88 
    32     26      1454.64 
    33     27      1593.92 
    34     28      1600.53 
    35     29      1716.03 
    36     30      1731.09 
    37     31      3002.94 
    38     32      3007.52 
    39     33      3020.95 
    40     34      3107.85 
    41     35      3216.31 
-----------------------------------
