----------Low Frequencies----------
index1 index2   freq[cm-1] 
     0     -6       -21.64   <-- Imag 
     1     -5       -15.00   <-- Imag 
     2     -4        -6.87   <-- Imag 
     3     -3        -4.29   <-- Imag 
     4     -2        -2.95   <-- Imag 
     5     -1        20.47 
----------High Frequencies--------- 
     6      0        46.85 
     7      1       154.44 
     8      2       212.70 
     9      3       349.31 
    10      4       397.91 
    11      5       404.86 
    12      6       511.34 
    13      7       578.28 
    14      8       591.86 
    15      9       663.13 
    16     10       736.95 
    17     11       839.49 
    18     12       914.05 
    19     13       972.07 
    20     14       980.88 
    21     15       989.53 
    22     16       995.79 
    23     17      1091.12 
    24     18      1097.31 
    25     19      1142.55 
    26     20      1171.60 
    27     21      1201.82 
    28     22      1232.87 
    29     23      1249.37 
    30     24      1400.62 
    31     25      1437.46 
    32     26      1498.00 
    33     27      1530.15 
    34     28      1623.58 
    35     29      1633.21 
    36     30      1708.48 
    37     31      2721.38 
    38     32      2723.12 
    39     33      2737.04 
    40     34      2822.55 
    41     35      2916.52 
-----------------------------------
