----------Low Frequencies----------
index1 index2   freq[cm-1] 
     0     -6       -31.96   <-- Imag 
     1     -5       -11.88   <-- Imag 
     2     -4        -9.90   <-- Imag 
     3     -3        -2.83   <-- Imag 
     4     -2         4.96 
     5     -1        12.75 
----------High Frequencies--------- 
     6      0        35.34 
     7      1       115.64 
     8      2       290.23 
     9      3       409.99 
    10      4       421.31 
    11      5       526.97 
    12      6       570.75 
    13      7       710.56 
    14      8       899.45 
    15      9       981.54 
    16     10      1003.50 
    17     11      1026.27 
    18     12      1099.66 
    19     13      1100.35 
    20     14      1227.78 
    21     15      1275.74 
    22     16      1297.31 
    23     17      1355.84 
    24     18      1358.24 
    25     19      1372.94 
    26     20      1431.15 
    27     21      1436.77 
    28     22      1463.92 
    29     23      1762.36 
    30     24      1780.62 
    31     25      2702.84 
    32     26      2730.93 
    33     27      2765.72 
    34     28      2781.25 
    35     29      2962.58 
    36     30      3040.13 
    37     31      3076.07 
    38     32      3157.24 
-----------------------------------
